isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,1.90141293e-08,1.00000000e-09,9.99998462e-10,1.00000000e-09,6.97135167e-16,1.00000000e-09,6.49615134e-18,1.00000000e-09,-1.44029982e-16,1.00000000e-09,-8.24614236e-17,1.00000000e-09,1.28334501e-17,1.00000000e-09,1.79566647e-16,1.00000000e-09,3.51362458e-07,1.00000000e-09,1.14799717e-01,1.00000000e-09,4.82385055e-02,1.00000000e-09,2.77932691e-03,1.00000000e-09,2.77932662e-03,1.00000000e-09,2.84606388e+06,1.00000000e-09,2.72746667e+07,1.00000000e-09,4.34089802e+06,1.00000000e-09,1.90141586e+01,1.00,.250,sky130
1.50000000e-09,2.84603393e-08,1.50000000e-09,1.49999728e-09,1.50000000e-09,6.96581445e-16,1.50000000e-09,-6.65698338e-18,1.50000000e-09,-1.30498227e-16,1.50000000e-09,-6.78204976e-17,1.50000000e-09,2.16879870e-17,1.50000000e-09,1.63405657e-16,1.50000000e-09,3.52307463e-07,1.50000000e-09,1.14799708e-01,1.50000000e-09,4.84050058e-02,1.50000000e-09,4.11069080e-03,1.50000000e-09,4.11069036e-03,1.50000000e-09,2.83842979e+06,1.50000000e-09,4.08571597e+07,1.50000000e-09,6.50261893e+06,1.50000000e-09,1.89735940e+01,1.00,.250,sky130
2.00000000e-09,3.78687454e-08,2.00000000e-09,1.99999976e-09,2.00000000e-09,6.96161125e-16,2.00000000e-09,-1.80333768e-17,2.00000000e-09,-1.18911343e-16,2.00000000e-09,-5.52228356e-17,2.00000000e-09,2.93101702e-17,2.00000000e-09,1.49504884e-16,2.00000000e-09,3.53225812e-07,2.00000000e-09,1.14799699e-01,2.00000000e-09,4.85700576e-02,2.00000000e-09,5.40632525e-03,2.00000000e-09,5.40632467e-03,2.00000000e-09,2.83105018e+06,2.00000000e-09,5.43965242e+07,2.00000000e-09,8.65747571e+06,2.00000000e-09,1.89343750e+01,1.00,.250,sky130
2.50000000e-09,4.72409802e-08,2.50000000e-09,2.49999811e-09,2.50000000e-09,6.95856361e-16,2.50000000e-09,-2.79578516e-17,2.50000000e-09,-1.08921067e-16,2.50000000e-09,-4.43008822e-17,2.50000000e-09,3.59327346e-17,2.50000000e-09,1.37468487e-16,2.50000000e-09,3.54121567e-07,2.50000000e-09,1.14799691e-01,2.50000000e-09,4.87337159e-02,2.50000000e-09,6.66827492e-03,2.50000000e-09,6.66827420e-03,2.50000000e-09,2.82388901e+06,2.50000000e-09,6.78889824e+07,2.50000000e-09,1.08048671e+07,2.50000000e-09,1.88964064e+01,1.00,.250,sky130
3.00000000e-09,5.65787341e-08,3.00000000e-09,2.99999622e-09,3.00000000e-09,6.95651755e-16,3.00000000e-09,-3.66868590e-17,3.00000000e-09,-1.00250791e-16,3.00000000e-09,-3.47630950e-17,3.00000000e-09,4.17379871e-17,3.00000000e-09,1.26980437e-16,3.00000000e-09,3.54998259e-07,3.00000000e-09,1.14799683e-01,3.00000000e-09,4.88960342e-02,3.00000000e-09,7.89842602e-03,3.00000000e-09,7.89842515e-03,3.00000000e-09,2.81691522e+06,3.00000000e-09,8.13319793e+07,3.00000000e-09,1.29443865e+07,3.00000000e-09,1.88596018e+01,1.00,.250,sky130
3.50000000e-09,6.58834905e-08,3.50000000e-09,3.49999460e-09,3.50000000e-09,6.95534092e-16,3.50000000e-09,-4.44240408e-17,3.50000000e-09,-9.26796280e-17,3.50000000e-09,-2.63769579e-17,3.50000000e-09,4.68696255e-17,3.50000000e-09,1.17787150e-16,3.50000000e-09,3.55858944e-07,3.50000000e-09,1.14799675e-01,3.50000000e-09,4.90570602e-02,3.50000000e-09,9.09849056e-03,3.50000000e-09,9.09848955e-03,3.50000000e-09,2.81010220e+06,3.50000000e-09,9.47235962e+07,3.50000000e-09,1.50757286e+07,3.50000000e-09,1.88238834e+01,1.00,.250,sky130
4.00000000e-09,7.51565938e-08,4.00000000e-09,3.99999309e-09,4.00000000e-09,6.95492058e-16,4.00000000e-09,-5.13323169e-17,4.00000000e-09,-8.60299369e-17,4.00000000e-09,-1.89556963e-17,4.00000000e-09,5.14418041e-17,4.00000000e-09,1.09683764e-16,4.00000000e-09,3.56706269e-07,4.00000000e-09,1.14799667e-01,4.00000000e-09,4.92168373e-02,4.00000000e-09,1.02700338e-02,4.00000000e-09,1.02700326e-02,4.00000000e-09,2.80342704e+06,4.00000000e-09,1.08062476e+08,4.00000000e-09,1.71986772e+07,4.00000000e-09,1.87891809e+01,1.00,.250,sky130
4.50000000e-09,8.43992833e-08,4.50000000e-09,4.49999185e-09,4.50000000e-09,6.95515966e-16,4.50000000e-09,-5.75429853e-17,4.50000000e-09,-8.01578578e-17,4.50000000e-09,-1.23482200e-17,4.50000000e-09,5.55459025e-17,4.50000000e-09,1.02503659e-16,4.50000000e-09,3.57542536e-07,4.50000000e-09,1.14799659e-01,4.50000000e-09,4.93754054e-02,4.50000000e-09,1.14144936e-02,4.50000000e-09,1.14144923e-02,4.50000000e-09,2.79687002e+06,4.50000000e-09,1.21347729e+08,4.50000000e-09,1.93130910e+07,4.50000000e-09,1.87554303e+01,1.00,.250,sky130
5.00000000e-09,9.36126923e-08,5.00000000e-09,4.99999067e-09,5.00000000e-09,6.95597515e-16,5.00000000e-09,-6.31626052e-17,5.00000000e-09,-7.49461021e-17,5.00000000e-09,-6.43147514e-18,5.00000000e-09,5.92556077e-17,5.00000000e-09,9.61104348e-17,5.00000000e-09,3.58369740e-07,5.00000000e-09,1.14799652e-01,5.00000000e-09,4.95328014e-02,5.00000000e-09,1.25331935e-02,5.00000000e-09,1.25331921e-02,5.00000000e-09,2.79041416e+06,5.00000000e-09,1.34578819e+08,5.00000000e-09,2.14188843e+07,5.00000000e-09,1.87225734e+01,1.00,.250,sky130
5.50000000e-09,1.02797860e-07,5.50000000e-09,5.49998905e-09,5.50000000e-09,6.95729577e-16,5.50000000e-09,-6.82782582e-17,5.50000000e-09,-7.02984090e-17,5.50000000e-09,-1.10457029e-18,5.50000000e-09,6.26307691e-17,5.50000000e-09,9.03917159e-17,5.50000000e-09,3.59189619e-07,5.50000000e-09,1.14799645e-01,5.50000000e-09,4.96890591e-02,5.50000000e-09,1.36273549e-02,5.50000000e-09,1.36273533e-02,5.50000000e-09,2.78404482e+06,5.50000000e-09,1.47755483e+08,5.50000000e-09,2.35160155e+07,5.50000000e-09,1.86905572e+01,1.00,.250,sky130
6.00000000e-09,1.11955772e-07,6.00000000e-09,5.99998794e-09,6.00000000e-09,6.95906021e-16,6.00000000e-09,-7.29616007e-17,6.00000000e-09,-6.61352538e-17,6.00000000e-09,3.71576634e-18,6.00000000e-09,6.57203460e-17,6.00000000e-09,8.52543203e-17,6.00000000e-09,3.60003683e-07,6.00000000e-09,1.14799638e-01,6.00000000e-09,4.98442107e-02,6.00000000e-09,1.46981118e-02,6.00000000e-09,1.46981101e-02,6.00000000e-09,2.77774936e+06,6.00000000e-09,1.60877718e+08,6.00000000e-09,2.56044840e+07,6.00000000e-09,1.86593329e+01,1.00,.250,sky130
6.50000000e-09,1.21087318e-07,6.50000000e-09,6.49998674e-09,6.50000000e-09,6.96121557e-16,6.50000000e-09,-7.72719507e-17,6.50000000e-09,-6.23905554e-17,6.50000000e-09,8.09866519e-18,6.50000000e-09,6.85646407e-17,6.50000000e-09,8.06205479e-17,6.50000000e-09,3.60813243e-07,6.50000000e-09,1.14799631e-01,6.50000000e-09,4.99982855e-02,6.50000000e-09,1.57465138e-02,6.50000000e-09,1.57465119e-02,6.50000000e-09,2.77151690e+06,6.50000000e-09,1.73945652e+08,6.50000000e-09,2.76843103e+07,6.50000000e-09,1.86288561e+01,1.00,.250,sky130
7.00000000e-09,1.30193332e-07,7.00000000e-09,6.99998559e-09,7.00000000e-09,6.96371607e-16,7.00000000e-09,-8.12587321e-17,7.00000000e-09,-5.90090622e-17,7.00000000e-09,1.21018771e-17,7.00000000e-09,7.11970535e-17,7.00000000e-09,7.64252149e-17,7.00000000e-09,3.61619436e-07,7.00000000e-09,1.14799624e-01,7.00000000e-09,5.01513114e-02,7.00000000e-09,1.67735384e-02,7.00000000e-09,1.67735364e-02,7.00000000e-09,2.76533809e+06,7.00000000e-09,1.86959564e+08,7.00000000e-09,2.97555388e+07,7.00000000e-09,1.85990857e+01,1.00,.250,sky130
7.50000000e-09,1.39274588e-07,7.50000000e-09,7.49998430e-09,7.50000000e-09,6.96652199e-16,7.50000000e-09,-8.49633600e-17,7.50000000e-09,-5.59443231e-17,7.50000000e-09,1.57739133e-17,7.50000000e-09,7.36454286e-17,7.50000000e-09,7.26133453e-17,7.50000000e-09,3.62423252e-07,7.50000000e-09,1.14799617e-01,7.50000000e-09,5.03033144e-02,7.50000000e-09,1.77800965e-02,7.50000000e-09,1.77800943e-02,7.50000000e-09,2.75920486e+06,7.50000000e-09,1.99919829e+08,7.50000000e-09,3.18182290e+07,7.50000000e-09,1.85699840e+01,1.00,.250,sky130
8.00000000e-09,1.48331812e-07,8.00000000e-09,7.99998294e-09,8.00000000e-09,6.96959876e-16,8.00000000e-09,-8.84207374e-17,8.00000000e-09,-5.31570717e-17,8.00000000e-09,1.91557489e-17,8.00000000e-09,7.59331172e-17,8.00000000e-09,6.91383239e-17,8.00000000e-09,3.63225546e-07,8.00000000e-09,1.14799610e-01,8.00000000e-09,5.04543191e-02,8.00000000e-09,1.87670393e-02,8.00000000e-09,1.87670369e-02,8.00000000e-09,2.75311032e+06,8.00000000e-09,2.12826903e+08,8.00000000e-09,3.38724537e+07,8.00000000e-09,1.85415161e+01,1.00,.250,sky130
8.50000000e-09,1.57365691e-07,8.50000000e-09,8.49998211e-09,8.50000000e-09,6.97291621e-16,8.50000000e-09,-9.16604384e-17,8.50000000e-09,-5.06139432e-17,8.50000000e-09,2.22821744e-17,8.50000000e-09,7.80798123e-17,8.50000000e-09,6.59604263e-17,8.50000000e-09,3.64027061e-07,8.50000000e-09,1.14799604e-01,8.50000000e-09,5.06043489e-02,8.50000000e-09,1.97351643e-02,8.50000000e-09,1.97351619e-02,8.50000000e-09,2.74704852e+06,8.50000000e-09,2.25681316e+08,8.50000000e-09,3.59182970e+07,8.50000000e-09,1.85136496e+01,1.00,.250,sky130
