isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.78755432e-08,1.00000000e-09,9.99998103e-10,1.00000000e-09,1.05880339e-16,1.00000000e-09,4.23069893e-18,1.00000000e-09,5.56032104e-20,1.00000000e-09,-1.57616288e-18,1.00000000e-09,3.10625220e-18,1.00000000e-09,4.03315334e-20,1.00000000e-09,8.20639591e-10,1.00000000e-09,3.03064340e-01,1.00000000e-09,2.13446580e-02,1.00000000e-09,1.42240630e-01,1.00000000e-09,1.42240630e-01,1.00000000e-09,1.21856173e+09,1.00000000e-09,2.63274028e+08,1.00000000e-09,4.19013629e+07,1.00000000e-09,2.78755961e+01,1.00,.500u,ihp-sg13g2
1.50000000e-09,4.19291580e-08,1.50000000e-09,1.50629080e-09,1.50000000e-09,1.07003622e-16,1.50000000e-09,6.22175534e-18,1.50000000e-09,6.71186825e-20,1.50000000e-09,-2.32323053e-18,1.50000000e-09,4.59315660e-18,1.50000000e-09,4.91280310e-20,1.50000000e-09,1.12848776e-09,1.50000000e-09,3.03064310e-01,1.50000000e-09,3.55744802e-02,1.50000000e-09,1.56544098e-01,1.50000000e-09,1.56544098e-01,1.50000000e-09,8.86141643e+08,1.50000000e-09,3.91848025e+08,1.50000000e-09,6.23645502e+07,1.50000000e-09,2.78360314e+01,1.00,.500u,ihp-sg13g2
2.00000000e-09,5.56283012e-08,2.00000000e-09,2.00186500e-09,2.00000000e-09,1.08253175e-16,2.00000000e-09,8.13131648e-18,2.00000000e-09,7.91122119e-20,2.00000000e-09,-3.03843479e-18,2.00000000e-09,6.01887763e-18,2.00000000e-09,5.81600554e-20,2.00000000e-09,1.43494942e-09,2.00000000e-09,3.03064292e-01,2.00000000e-09,4.54669254e-02,2.00000000e-09,1.66508028e-01,2.00000000e-09,1.66508028e-01,2.00000000e-09,6.96888674e+08,2.00000000e-09,5.13872239e+08,2.00000000e-09,8.17853070e+07,2.00000000e-09,2.77882380e+01,1.00,.500u,ihp-sg13g2
2.50000000e-09,6.93623824e-08,2.50000000e-09,2.50084307e-09,2.50000000e-09,1.09581505e-16,2.50000000e-09,1.00200830e-17,2.50000000e-09,9.13452876e-20,2.50000000e-09,-3.74524027e-18,2.50000000e-09,7.42852153e-18,2.50000000e-09,6.73150109e-20,2.50000000e-09,1.74443633e-09,2.50000000e-09,3.03064279e-01,2.50000000e-09,5.32123975e-02,2.50000000e-09,1.74324990e-01,2.50000000e-09,1.74324990e-01,2.50000000e-09,5.73251073e+08,2.50000000e-09,6.32975267e+08,2.50000000e-09,1.00741143e+08,2.50000000e-09,2.77355997e+01,1.00,.500u,ihp-sg13g2
3.00000000e-09,8.30531981e-08,3.00000000e-09,3.00044028e-09,3.00000000e-09,1.10947740e-16,3.00000000e-09,1.18804926e-17,3.00000000e-09,1.03579319e-19,3.00000000e-09,-4.44118028e-18,3.00000000e-09,8.81635166e-18,3.00000000e-09,7.64379726e-20,3.00000000e-09,2.05393188e-09,3.00000000e-09,3.03064269e-01,3.00000000e-09,5.95543421e-02,3.00000000e-09,1.80738099e-01,3.00000000e-09,1.80738099e-01,3.00000000e-09,4.86871064e+08,3.00000000e-09,7.48579448e+08,3.00000000e-09,1.19140119e+08,3.00000000e-09,2.76803370e+01,1.00,.500u,ihp-sg13g2
3.50000000e-09,9.66894256e-08,3.50000000e-09,3.50025617e-09,3.50000000e-09,1.12333115e-16,3.50000000e-09,1.37133684e-17,3.50000000e-09,1.15741895e-19,3.50000000e-09,-5.12678611e-18,3.50000000e-09,1.01829452e-17,3.50000000e-09,8.54868217e-20,3.50000000e-09,2.36271191e-09,3.50000000e-09,3.03064261e-01,3.50000000e-09,6.49217021e-02,3.50000000e-09,1.86176289e-01,3.50000000e-09,1.86176289e-01,3.50000000e-09,4.23242459e+08,3.50000000e-09,8.60738398e+08,3.50000000e-09,1.36990771e+08,3.50000000e-09,2.76235284e+01,1.00,.500u,ihp-sg13g2
4.00000000e-09,1.10267615e-07,4.00000000e-09,4.00016091e-09,4.00000000e-09,1.13727082e-16,4.00000000e-09,1.55200195e-17,4.00000000e-09,1.27806323e-19,4.00000000e-09,-5.80269230e-18,4.00000000e-09,1.15292658e-17,4.00000000e-09,9.44484769e-20,4.00000000e-09,2.67051788e-09,4.00000000e-09,3.03064255e-01,4.00000000e-09,6.95740222e-02,4.00000000e-09,1.90899122e-01,4.00000000e-09,1.90899122e-01,4.00000000e-09,3.74459205e+08,4.00000000e-09,9.69580975e+08,4.00000000e-09,1.54313605e+08,4.00000000e-09,2.75657950e+01,1.00,.500u,ihp-sg13g2
4.50000000e-09,1.23786800e-07,4.50000000e-09,4.50010691e-09,4.50000000e-09,1.15123209e-16,4.50000000e-09,1.73017067e-17,4.50000000e-09,1.39763714e-19,4.50000000e-09,-6.46946870e-18,4.50000000e-09,1.28562540e-17,4.50000000e-09,1.03320587e-19,4.50000000e-09,2.97726343e-09,4.50000000e-09,3.03064250e-01,4.50000000e-09,7.36796562e-02,4.50000000e-09,1.95074973e-01,4.50000000e-09,1.95074973e-01,4.50000000e-09,3.35878911e+08,4.50000000e-09,1.07525495e+09,4.50000000e-09,1.71132140e+08,4.50000000e-09,2.75075242e+01,1.00,.500u,ihp-sg13g2
5.00000000e-09,1.38001387e-07,5.00000000e-09,5.02816460e-09,5.00000000e-09,1.16595549e-16,5.00000000e-09,1.91576236e-17,5.00000000e-09,1.52275232e-19,5.00000000e-09,-7.16433075e-18,5.00000000e-09,1.42377336e-17,5.00000000e-09,1.12595994e-19,5.00000000e-09,3.30007407e-09,5.00000000e-09,3.03064245e-01,5.00000000e-09,7.75492653e-02,5.00000000e-09,1.99018442e-01,5.00000000e-09,1.99018442e-01,5.00000000e-09,3.03023502e+08,5.00000000e-09,1.18359053e+09,5.00000000e-09,1.88374283e+08,5.00000000e-09,2.74456782e+01,1.00,.500u,ihp-sg13g2
5.50000000e-09,1.51242547e-07,5.50000000e-09,5.52227835e-09,5.50000000e-09,1.17968306e-16,5.50000000e-09,2.08711319e-17,5.50000000e-09,1.63874767e-19,5.50000000e-09,-7.80621214e-18,5.50000000e-09,1.55124731e-17,5.50000000e-09,1.21189975e-19,5.50000000e-09,3.60105393e-09,5.50000000e-09,3.03064241e-01,5.50000000e-09,8.08196087e-02,5.50000000e-09,2.02357632e-01,5.50000000e-09,2.02357632e-01,5.50000000e-09,2.77696480e+08,5.50000000e-09,1.28206086e+09,5.50000000e-09,2.04046323e+08,5.50000000e-09,2.73877081e+01,1.00,.500u,ihp-sg13g2
6.00000000e-09,1.64541239e-07,6.00000000e-09,6.02069879e-09,6.00000000e-09,1.19346293e-16,6.00000000e-09,2.25778248e-17,6.00000000e-09,1.75473403e-19,6.00000000e-09,-8.44590925e-18,6.00000000e-09,1.67814265e-17,6.00000000e-09,1.29779489e-19,6.00000000e-09,3.90362915e-09,6.00000000e-09,3.03064237e-01,6.00000000e-09,8.38355766e-02,6.00000000e-09,2.05442800e-01,6.00000000e-09,2.05442800e-01,6.00000000e-09,2.56171875e+08,6.00000000e-09,1.37868747e+09,6.00000000e-09,2.19424926e+08,6.00000000e-09,2.73292594e+01,1.00,.500u,ihp-sg13g2
6.50000000e-09,1.77779959e-07,6.50000000e-09,6.51902634e-09,6.50000000e-09,1.20715949e-16,6.50000000e-09,2.42631308e-17,6.50000000e-09,1.86971404e-19,6.50000000e-09,-9.07798844e-18,6.50000000e-09,1.80337674e-17,6.50000000e-09,1.38291711e-19,6.50000000e-09,4.20514908e-09,6.50000000e-09,3.03064234e-01,6.50000000e-09,8.66120543e-02,6.50000000e-09,2.08288230e-01,6.50000000e-09,2.08288230e-01,6.50000000e-09,2.37803698e+08,6.50000000e-09,1.47271309e+09,6.50000000e-09,2.34389568e+08,6.50000000e-09,2.72709373e+01,1.00,.500u,ihp-sg13g2
7.00000000e-09,1.90968935e-07,7.00000000e-09,7.01762306e-09,7.00000000e-09,1.22077325e-16,7.00000000e-09,2.59289583e-17,7.00000000e-09,1.98381105e-19,7.00000000e-09,-9.70318157e-18,7.00000000e-09,1.92709311e-17,7.00000000e-09,1.46736614e-19,7.00000000e-09,4.50586612e-09,7.00000000e-09,3.03064231e-01,7.00000000e-09,8.91862011e-02,7.00000000e-09,2.10931141e-01,7.00000000e-09,2.10931141e-01,7.00000000e-09,2.21932914e+08,7.00000000e-09,1.56432765e+09,7.00000000e-09,2.48970478e+08,7.00000000e-09,2.72127661e+01,1.00,.500u,ihp-sg13g2
7.50000000e-09,2.04106507e-07,7.50000000e-09,7.51640455e-09,7.50000000e-09,1.23429502e-16,7.50000000e-09,2.75756298e-17,7.50000000e-09,2.09704373e-19,7.50000000e-09,-1.03216207e-17,7.50000000e-09,2.04931742e-17,7.50000000e-09,1.55116246e-19,7.50000000e-09,4.80576102e-09,7.50000000e-09,3.03064228e-01,7.50000000e-09,9.15853306e-02,7.50000000e-09,2.13398843e-01,7.50000000e-09,2.13398843e-01,7.50000000e-09,2.08083589e+08,7.50000000e-09,1.65362821e+09,7.50000000e-09,2.63183104e+08,7.50000000e-09,2.71548060e+01,1.00,.500u,ihp-sg13g2
8.00000000e-09,2.17192439e-07,8.00000000e-09,8.01533903e-09,8.00000000e-09,1.24771905e-16,8.00000000e-09,2.92036008e-17,8.00000000e-09,2.20944135e-19,8.00000000e-09,-1.09334835e-17,8.00000000e-09,2.17008529e-17,8.00000000e-09,1.63433304e-19,8.00000000e-09,5.10484508e-09,8.00000000e-09,3.03064226e-01,8.00000000e-09,9.38317552e-02,8.00000000e-09,2.15713652e-01,8.00000000e-09,2.15713652e-01,8.00000000e-09,1.95892331e+08,8.00000000e-09,1.74071590e+09,8.00000000e-09,2.77043540e+08,8.00000000e-09,2.70970994e+01,1.00,.500u,ihp-sg13g2
8.50000000e-09,2.30226629e-07,8.50000000e-09,8.51439946e-09,8.50000000e-09,1.26104110e-16,8.50000000e-09,3.08133044e-17,8.50000000e-09,2.32103222e-19,8.50000000e-09,-1.15389361e-17,8.50000000e-09,2.28943063e-17,8.50000000e-09,1.71690315e-19,8.50000000e-09,5.40313083e-09,8.50000000e-09,3.03064224e-01,8.50000000e-09,9.59437778e-02,8.50000000e-09,2.17893875e-01,8.50000000e-09,2.17893875e-01,8.50000000e-09,1.85077880e+08,8.50000000e-09,1.82568695e+09,8.50000000e-09,2.90567103e+08,8.50000000e-09,2.70396790e+01,1.00,.500u,ihp-sg13g2
9.00000000e-09,2.43209148e-07,9.00000000e-09,9.01356494e-09,9.00000000e-09,1.27425824e-16,9.00000000e-09,3.24051604e-17,9.00000000e-09,2.43184387e-19,9.00000000e-09,-1.21381369e-17,9.00000000e-09,2.40738637e-17,9.00000000e-09,1.79889671e-19,9.00000000e-09,5.70063272e-09,9.00000000e-09,3.03064222e-01,9.00000000e-09,9.79366076e-02,9.00000000e-09,2.19954722e-01,9.00000000e-09,2.19954722e-01,9.00000000e-09,1.75419124e+08,9.00000000e-09,1.90863312e+09,9.00000000e-09,3.03768396e+08,9.00000000e-09,2.69825701e+01,1.00,.500u,ihp-sg13g2
